,Components_cnt,time,token,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio
124,221,2021-02-11,AAVE,2.2424767265641914,9.063517096238769,172.6,59.52441142552823,76.96846881637381
125,279,2021-02-12,AAVE,2.1682793437105596,10.31142850741192,166.8,141.08452942985792,76.92735739231665
126,275,2021-02-13,AAVE,2.1660205245153934,7.119533648031547,115.6,71.27443050943617,53.36976205516951
127,280,2021-02-14,AAVE,2.1846073842953717,8.036440554742034,124.4,83.27090995326306,56.94387050702214
128,259,2021-02-15,AAVE,2.158569140416444,7.862466140673242,111.3,76.31084093655662,51.561934207271825
129,291,2021-02-16,AAVE,2.145316180467476,6.360008030079693,111.0,63.212164792686686,51.740625
130,203,2021-02-17,AAVE,2.234102419808666,7.651375576264124,113.3,75.20941134961471,50.713879093199
131,186,2021-02-18,AAVE,2.204480908804039,6.972064938816342,99.4,56.62782982872566,45.089979959919845
132,259,2021-02-19,AAVE,2.160387513455328,7.112713184177091,108.0,67.16811412832398,49.99103139013454
133,245,2021-02-20,AAVE,2.277790945721735,7.280279699405525,117.7,58.01733457434177,51.67287200832466
134,199,2021-02-21,AAVE,2.2378610940381067,7.059056478206127,105.5,50.11819363597748,47.14322988190058
135,206,2021-02-22,AAVE,2.300756827903916,7.054362132880142,97.7,53.41046505861729,42.46428775743707
136,186,2021-02-23,AAVE,2.2771952817824377,7.530588617550975,104.3,60.44841694462404,45.801956834532376
137,179,2021-02-24,AAVE,2.2459016393442623,6.929613177510559,96.3,52.61611497968617,42.87810218978102
138,139,2021-02-25,AAVE,2.223015873015873,6.20781643946992,80.4,43.8005580887834,36.16708318457694
139,154,2021-02-26,AAVE,2.326975476839237,6.7350659937818955,85.2,51.23106696353515,36.614051522248246
140,162,2021-02-27,AAVE,2.1838827838827837,6.570688178944507,87.6,52.900745636416964,40.112042938611204
141,167,2021-02-28,AAVE,2.275278738946559,7.140213862960215,96.6,50.99063094769905,42.45633660020277
142,155,2021-03-01,AAVE,2.3344456803856137,7.024077127578756,92.9,53.31968575384602,39.79531448538755
143,147,2021-03-02,AAVE,2.267153284671533,6.608889203245783,91.0,49.43458078893537,40.1384417256922
144,138,2021-03-03,AAVE,2.1929395316322964,10.090352267072108,119.5,120.85827328827027,54.49306662416321
145,141,2021-03-04,AAVE,2.2819383259911894,6.2289876084319244,80.2,38.38923460207736,35.145559845559845
146,93,2021-03-05,AAVE,2.290145072536268,6.059172509548093,68.0,43.914057480998544,29.692442114460466
147,111,2021-03-06,AAVE,2.319366852886406,6.3839617079412925,79.9,37.80196937844494,34.449056603773585
148,108,2021-03-07,AAVE,2.684993531694696,14.705137937245865,170.7,194.93192543951224,63.575572151288846
149,98,2021-03-08,AAVE,2.3976510067114094,7.651588137523148,93.9,63.065133878484005,39.16333100069979
150,116,2021-03-09,AAVE,2.2666263603385732,6.069919078061083,82.2,43.99444409367064,36.26535076020272
151,110,2021-03-10,AAVE,2.310482087571871,6.681835155904317,83.0,43.88368464221957,35.92323889739663
152,120,2021-03-11,AAVE,2.266211604095563,5.554459797410885,64.1,31.416379309030646,28.285090361445782
153,111,2021-03-12,AAVE,2.3201219512195124,9.522994174945037,107.7,107.22152561662027,46.41997371879106
154,134,2021-03-13,AAVE,2.2439848037146475,6.491320113608192,82.8,44.658705758228145,36.89864559819413
155,100,2021-03-14,AAVE,2.2758620689655173,5.631018127570582,65.5,31.135010661454558,28.780303030303028
156,122,2021-03-15,AAVE,2.144298688193744,5.761135019802383,64.9,38.94283559840557,30.266305882352942
157,130,2021-03-16,AAVE,2.092925910422771,14.4234444488413,122.1,195.46494428527188,58.33938
158,117,2021-03-17,AAVE,2.1377848436671965,7.278440976185615,73.1,67.637021420718,34.19427367377293
159,113,2021-03-18,AAVE,2.1682619647355166,7.587852415945833,78.0,72.34638899074369,35.97351301115241
160,132,2021-03-19,AAVE,2.130841121495327,10.375136705498134,90.8,125.41468990690223,42.612280701754386
161,149,2021-03-20,AAVE,2.1348667015159437,5.1475714503347385,56.0,34.80421430420939,26.23114593535749
162,134,2021-03-21,AAVE,2.0981033355134073,4.778283423323556,48.8,27.712011034126622,23.259102244389027
163,112,2021-03-22,AAVE,2.1828220858895704,5.663227155614195,61.1,32.105555074888,27.991287240022487
164,120,2021-03-23,AAVE,2.174228675136116,12.460069607731024,109.6,154.47991599054046,50.40868113522537
165,113,2021-03-24,AAVE,2.2070372259051503,9.839786554177808,89.9,105.79482238958788,40.733341035120155
166,93,2021-03-25,AAVE,2.172491544532131,8.856225089479077,79.1,88.99119806662529,36.40980799169694
167,105,2021-03-26,AAVE,2.1874740771464123,16.414638514416005,128.7,230.74615682365956,58.834982935153576
168,125,2021-03-27,AAVE,2.1040419161676644,21.508699156472566,155.5,331.8591568723093,73.90537175382427
169,106,2021-03-28,AAVE,2.216611295681063,5.472573342383853,54.0,35.99382663118157,24.361510791366907
